,close
2005/1/4,1242.774
2005/1/5,1251.937
2005/1/6,1239.43
2005/1/7,1244.746
2005/1/10,1252.401
2005/1/11,1257.462
2005/1/12,1256.923
2005/1/13,1256.314
2005/1/14,1245.62
2005/1/17,1216.652
2005/1/18,1225.454
2005/1/19,1218.108
2005/1/20,1204.394
2005/1/21,1234.476
2005/1/24,1255.777
2005/1/25,1254.234
2005/1/26,1241.958
2005/1/27,1225.891
2005/1/28,1213.673
2005/1/31,1191.823
2005/2/1,1188.931
2005/2/2,1252.5
2005/2/3,1242.307
2005/2/4,1269.004
2005/2/16,1278.88
2005/2/17,1276.134
2005/2/18,1258.969
2005/2/21,1284.48
2005/2/22,1309.277
2005/2/23,1309.475
2005/2/24,1309.949
2005/2/25,1312.445
2005/2/28,1306.003
2005/3/1,1303.412
2005/3/2,1287.45
2005/3/3,1294.339
2005/3/4,1287.714
2005/3/7,1293.739
2005/3/8,1318.271
2005/3/9,1316.791
2005/3/10,1286.233
2005/3/11,1289.941
2005/3/14,1293.5
2005/3/15,1269.144
2005/3/16,1255.589
2005/3/17,1243.475
2005/3/18,1227.403
2005/3/21,1231.046
2005/3/22,1206.922
2005/3/23,1201.649
2005/3/24,1208.192
2005/3/25,1205.634
2005/3/28,1200.113
2005/3/29,1195.018
2005/3/30,1172.574
2005/3/31,1181.236
2005/4/1,1223.566
2005/4/4,1202.967
2005/4/5,1191.745
2005/4/6,1214.868
2005/4/7,1225.487
2005/4/8,1248.521
2005/4/11,1240.972
2005/4/12,1219.511
2005/4/13,1248.203
2005/4/14,1234.332
2005/4/15,1216.962
2005/4/18,1197.735
2005/4/19,1199.902
2005/4/20,1184.193
2005/4/21,1172.556
2005/4/22,1169.187
2005/4/25,1157.971
2005/4/26,1165.335
2005/4/27,1148.757
2005/4/28,1169.118
2005/4/29,1159.146
2005/5/9,1130.835
2005/5/10,1135.561
2005/5/11,1124.271
2005/5/12,1103.993
2005/5/13,1107.627
2005/5/16,1095.468
2005/5/17,1099.64
2005/5/18,1102.965
2005/5/19,1103.475
2005/5/20,1099.269
2005/5/23,1070.844
2005/5/24,1073.847
2005/5/25,1072.137
2005/5/26,1058.867
2005/5/27,1051.946
2005/5/30,1060.162
2005/5/31,1060.738
2005/6/1,1039.187
2005/6/2,1016.063
2005/6/3,1013.637
2005/6/6,1034.378
2005/6/7,1030.941
2005/6/8,1115.582
2005/6/9,1131.052
2005/6/10,1108.286
2005/6/13,1106.291
2005/6/14,1093.464
2005/6/15,1072.836
2005/6/16,1086.01
2005/6/17,1085.61
2005/6/20,1115.62
2005/6/21,1101.486
2005/6/22,1102.033
2005/6/23,1093.702
2005/6/24,1101.882
2005/6/27,1124.64
2005/6/28,1108.588
2005/6/29,1104.992
2005/6/30,1080.938
2005/7/1,1055.594
2005/7/4,1047.278
2005/7/5,1039.043
2005/7/6,1033.545
2005/7/7,1038.597
