,close
2019/01/02,46.33
2019/01/03,46.83
2019/01/04,48.31
2019/01/07,48.77
2019/01/08,49.79
2019/01/09,52.16
2019/01/10,52.32
2019/01/11,51.7
2019/01/14,50.78
2019/01/15,51.99
2019/01/16,52.32
2019/01/17,52.48
2019/01/18,53.99
2019/01/22,52.99
2019/01/23,52.43
2019/01/24,53.18
2019/01/25,53.55
2019/01/28,52.09
2019/01/29,53.24
2019/01/30,54.22
2019/01/31,54.02
2019/02/01,55.37
2019/02/04,54.84
2019/02/05,53.72
2019/02/06,53.9
2019/02/07,52.61
2019/02/08,52.71
2019/02/11,52.45
2019/02/12,53.34
2019/02/13,53.95
2019/02/14,54.47
2019/02/15,56.2
2019/02/19,56.43
2019/02/20,57.24
2019/02/21,56.84
2019/02/22,57.07
2019/02/25,55.43
2019/02/26,55.99
2019/02/27,56.98
2019/02/28,57.25
2019/03/01,55.75
2019/03/04,56.45
2019/03/05,56.28
2019/03/06,56.19
2019/03/07,56.4
2019/03/08,56.04
2019/03/11,56.77
2019/03/12,57.09
2019/03/13,58.34
2019/03/14,58.53
2019/03/15,58.74
2019/03/18,59.28
2019/03/19,59.29
2019/03/20,59.99
2019/03/21,59.87
2019/03/22,58.97
2019/03/25,59.08
2019/03/26,60.04
2019/03/27,59.4
2019/03/28,59.51
2019/03/29,60.18
2019/04/01,61.77
2019/04/02,62.59
2019/04/03,62.49
2019/04/04,62.18
2019/04/05,63.26
2019/04/08,64.46
2019/04/09,64.22
2019/04/10,64.47
2019/04/11,63.71
2019/04/12,63.76
2019/04/15,63.57
2019/04/16,64.33
2019/04/17,63.75
2019/04/18,64.06
2019/04/22,65.68
2019/04/23,66.18
2019/04/24,65.78
2019/04/25,65.11
2019/04/26,62.8
2019/04/29,63.61
2019/04/30,63.47
2019/05/01,63.62
2019/05/02,61.54
2019/05/03,61.86
2019/05/06,62.54
2019/05/07,61.44
2019/05/08,61.99
2019/05/09,61.6
2019/05/10,61.71
2019/05/13,60.84
2019/05/14,61.34
2019/05/15,62.13
2019/05/16,63.14
2019/05/17,62.87
2019/05/20,63.3
2019/05/21,62.97
2019/05/22,61.32
2019/05/23,58.19
2019/05/24,59.02
2019/05/27,59.24
2019/05/28,59.06
2019/05/29,59.06
2019/05/30,56.41
2019/05/31,53.36
2019/06/03,52.85
2019/06/04,52.95
2019/06/05,51.69
2019/06/06,53.18
2019/06/07,54.04
2019/06/10,53.42
2019/06/11,53.05
2019/06/12,51.08
2019/06/13,52.2
2019/06/14,52.51
2019/06/17,51.92
2019/06/18,54.3
2019/06/19,54.38
2019/06/20,57.16
2019/06/21,57.6
2019/06/24,57.75
2019/06/25,58.77
2019/06/26,59.21
2019/06/27,59.28
2019/06/28,58.2
2019/07/01,59.19
2019/07/02,56.32
2019/07/03,57.4
2019/07/04,56.8
2019/07/05,57.73
2019/07/08,57.57
2019/07/09,58.34
2019/07/10,60.27
2019/07/11,60.43
2019/07/12,60.39
2019/07/15,59.31
2019/07/16,57.48
2019/07/17,56.58
2019/07/18,55.77
2019/07/19,55.86
2019/07/22,56.22
2019/07/23,57.17
2019/07/24,55.9
2019/07/25,55.91
2019/07/26,56.16
2019/07/29,57.05
2019/07/30,58.34
2019/07/31,57.89
2019/08/01,54.49
2019/08/02,55.19
2019/08/05,55.01
2019/08/06,53.46
2019/08/07,52.31
2019/08/08,52.92
2019/08/09,54.27
2019/08/12,54.78
2019/08/13,56.73
2019/08/14,54.95
2019/08/15,54.7
2019/08/16,54.85
2019/08/19,56.11
2019/08/20,56.12
2019/08/21,55.85
2019/08/22,55.39
2019/08/23,53.97
2019/08/26,53.8
2019/08/27,55.69
2019/08/28,55.9
2019/08/29,56.61
2019/08/30,55.16
2019/09/03,53.93
2019/09/04,55.98
2019/09/05,56.17
2019/09/06,56.73
2019/09/09,58.05
2019/09/10,57.87
2019/09/11,55.97
2019/09/12,55.12
2019/09/13,54.82
2019/09/16,61.88
2019/09/17,58.81
2019/09/18,58.19
2019/09/19,58.64
2019/09/20,58.39
2019/09/23,58.49
2019/09/24,56.8
2019/09/25,56.66
2019/09/26,56.54
2019/09/27,56.18
2019/09/30,54.24
2019/10/01,53.98
2019/10/02,52.38
2019/10/03,52.31
2019/10/04,53.01
2019/10/07,52.8
2019/10/08,52.57
2019/10/09,52.65
2019/10/10,53.86
2019/10/11,54.91
2019/10/14,53.48
2019/10/15,52.91
2019/10/16,52.97
2019/10/17,54.1
2019/10/18,53.85
2019/10/21,53.64
2019/10/22,54.32
2019/10/23,55.88
2019/10/24,56.07
2019/10/25,56.63
2019/10/28,55.74
2019/10/29,55.5
2019/10/30,54.9
2019/10/31,54.14
2019/11/01,56.23
2019/11/04,56.53
2019/11/05,57.27
2019/11/06,56.39
2019/11/07,57.07
2019/11/08,57.44
2019/11/11,56.9
2019/11/12,56.78
2019/11/13,57.38
2019/11/14,56.9
2019/11/15,57.93
2019/11/18,56.88
2019/11/19,55.25
2019/11/20,57.09
2019/11/21,58.33
2019/11/22,57.93
2019/11/25,57.91
